원본명,정규화명,매칭점수,매칭_교차로명,lon,lat,주소(있으면),키(카메라)
원형육교4,원형육,100,원형육교4,127.1121595,36.8019145,원형육,"원형육,,,,,,,,,,,,"
이수(3산업)4,이수,100,이수(3산업)4,127.1147185,36.830499,이수,"이수,,,,,,,,,,,,"
인쇄창4,인쇄창,100,인쇄창4,127.144534,36.8253115,인쇄창,"인쇄창,,,,,,,,,,,,"
일봉산4,일봉산,100,일봉산4,127.130195,36.7982675,일봉산,"일봉산,,,,,,,,,,,,"
일봉회관4,일봉회관,100,일봉회관4,127.1429085,36.7985595,일봉회관,"일봉회관,,,,,,,,,,,,"
저리교차로,저리,60,2공단3,127.125437,36.851565,2공단,"2공단,,,,,,,,,,,,"
주공6단지4,주공6단지,100,주공6단지4,127.136761,36.8231775,주공6단지,"주공6단지,,,,,,,,,,,,"
차돌길3,차돌길,100,차돌길3,127.1313425,36.7991955,차돌길,"차돌길,,,,,,,,,,,,"
천고4,천고,100,천고4,127.132689,36.8073605,천고,"천고,,,,,,,,,,,,"
천안대로4,천안대로,100,천안대로4,127.162349,36.82155,천안대로,"천안대로,,,,,,,,,,,,"
청당동입구4,청당동입구,100,청당동입구4,127.158524,36.781208,청당동입구,"청당동입구,,,,,,,,,,,,"
청삼4,청삼,100,청삼4,127.1653375,36.781715,청삼,"청삼,,,,,,,,,,,,"
청솔4,청솔,100,청솔4,127.133129,36.809886,청솔,"청솔,,,,,,,,,,,,"
충무로4,충무로,100,충무로4,127.159238,36.7986925,충무로,"충무로,,,,,,,,,,,,"
터미널4,터미널,100,터미널4,127.1582345,36.8190805,터미널,"터미널,,,,,,,,,,,,"
하신3,하신,100,하신3,127.123978,36.786351,하신,"하신,,,,,,,,,,,,"
한들사거리,한들,60,2공단3,127.125437,36.851565,2공단,"2공단,,,,,,,,,,,,"
한방병원삼거리,한방병원,60,2공단3,127.125437,36.851565,2공단,"2공단,,,,,,,,,,,,"
