"시도명","시군구","레벨01","시점","관용","자가용","영업용","계",
"경북","청도군","총계","2025.06 월","230","26632","1015","27877",
"경북","청송군","승용","2025.06 월","59","10149","39","10247",
"경북","청송군","승합","2025.06 월","70","458","44","572",
"경북","청송군","화물","2025.06 월","87","6070","115","6272",
"경북","청송군","특수","2025.06 월","10","62","15","87",
"경북","청송군","총계","2025.06 월","226","16739","213","17178",
"경북","칠곡군","승용","2025.06 월","121","55727","270","56118",
"경북","칠곡군","승합","2025.06 월","61","1746","334","2141",
"경북","칠곡군","화물","2025.06 월","113","12740","1582","14435",
"경북","칠곡군","특수","2025.06 월","14","273","320","607",
"경북","칠곡군","총계","2025.06 월","309","70486","2506","73301",
"경북","포항시 남구","승용","2025.06 월","148","103655","1326","105129",
"경북","포항시 남구","승합","2025.06 월","84","2765","770","3619",
"경북","포항시 남구","화물","2025.06 월","215","17667","4207","22089",
"경북","포항시 남구","특수","2025.06 월","13","464","1730","2207",
"경북","포항시 남구","총계","2025.06 월","460","124551","8033","133044",
"경북","포항시 북구","승용","2025.06 월","163","131519","2131","133813",
"경북","포항시 북구","승합","2025.06 월","96","2811","298","3205",
"경북","포항시 북구","화물","2025.06 월","110","18099","1095","19304",
"경북","포항시 북구","특수","2025.06 월","27","454","300","781",
"경북","포항시 북구","총계","2025.06 월","396","152883","3824","157103",
"경남","계","승용","2025.06 월","2723","1513527","125529","1641779",
"경남","계","승합","2025.06 월","1906","35825","6983","44714",
"경남","계","화물","2025.06 월","2774","268648","27804","299226",
"경남","계","특수","2025.06 월","336","5317","5759","11412",
"경남","계","총계","2025.06 월","7739","1823317","166075","1997131",
"경남","고성군","승용","2025.06 월","67","19752","184","20003",
"경남","고성군","승합","2025.06 월","62","677","89","828",
"경남","고성군","화물","2025.06 월","97","7334","214","7645",
"경남","고성군","특수","2025.06 월","11","139","66","216",
"경남","고성군","총계","2025.06 월","237","27902","553","28692",
"경남","거제시","승용","2025.06 월","126","97165","1038","98329",
"경남","거제시","승합","2025.06 월","83","2692","474","3249",
"경남","거제시","화물","2025.06 월","153","12029","513","12695",
"경남","거제시","특수","2025.06 월","15","320","167","502",
"경남","거제시","총계","2025.06 월","377","112206","2192","114775",
"경남","거창군","승용","2025.06 월","108","25082","184","25374",
"경남","거창군","승합","2025.06 월","77","827","175","1079",
"경남","거창군","화물","2025.06 월","104","9328","259","9691",
"경남","거창군","특수","2025.06 월","15","86","176","277",
"경남","거창군","총계","2025.06 월","304","35323","794","36421",
"경남","김해시","승용","2025.06 월","264","249030","2233","251527",
"경남","김해시","승합","2025.06 월","155","5893","568","6616",
"경남","김해시","화물","2025.06 월","240","41086","4744","46070",
"경남","김해시","특수","2025.06 월","41","837","607","1485",
"경남","김해시","총계","2025.06 월","700","296846","8152","305698",
"경남","남해군","승용","2025.06 월","101","14338","149","14588",
"경남","남해군","승합","2025.06 월","54","506","104","664",
"경남","남해군","화물","2025.06 월","137","6200","153","6490",
"경남","남해군","특수","2025.06 월","8","64","27","99",
"경남","남해군","총계","2025.06 월","300","21108","433","21841",
"경남","밀양시","승용","2025.06 월","108","44097","479","44684",
"경남","밀양시","승합","2025.06 월","93","1324","196","1613",
"경남","밀양시","화물","2025.06 월","104","13671","2591","16366",
"경남","밀양시","특수","2025.06 월","15","212","589","816",
"경남","밀양시","총계","2025.06 월","320","59304","3855","63479",
"경남","사천시","승용","2025.06 월","99","48898","661","49658",
"경남","사천시","승합","2025.06 월","81","1398","211","1690",
"경남","사천시","화물","2025.06 월","130","10498","560","11188",
"경남","사천시","특수","2025.06 월","18","190","114","322",
"경남","사천시","총계","2025.06 월","328","60984","1546","62858",
"경남","산청군","승용","2025.06 월","93","13923","56","14072",
"경남","산청군","승합","2025.06 월","61","485","54","600",
"경남","산청군","화물","2025.06 월","100","7202","479","7781",
"경남","산청군","특수","2025.06 월","9","144","147","300",
"경남","산청군","총계","2025.06 월","263","21754","736","22753",
"경남","양산시","승용","2025.06 월","187","157092","1102","158381",
"경남","양산시","승합","2025.06 월","88","4010","780","4878",
"경남","양산시","화물","2025.06 월","151","22327","7231","29709",
"경남","양산시","특수","2025.06 월","23","646","1533","2202",
"경남","양산시","총계","2025.06 월","449","184075","10646","195170",
"경남","의령군","승용","2025.06 월","68","10501","51","10620",
"경남","의령군","승합","2025.06 월","52","354","37","443",
"경남","의령군","화물","2025.06 월","93","4566","571","5230",
"경남","의령군","특수","2025.06 월","14","64","119","197",
"경남","의령군","총계","2025.06 월","227","15485","778","16490",
"경남","진주시","승용","2025.06 월","214","145076","2433","147723",
"경남","진주시","승합","2025.06 월","175","3097","1046","4318",
"경남","진주시","화물","2025.06 월","250","26599","2390","29239",
"경남","진주시","특수","2025.06 월","32","528","435","995",
"경남","진주시","총계","2025.06 월","671","175300","6304","182275",
"경남","창녕군","승용","2025.06 월","70","25236","192","25498",
"경남","창녕군","승합","2025.06 월","76","976","105","1157",
"경남","창녕군","화물","2025.06 월","95","10287","420","10802",
"경남","창녕군","특수","2025.06 월","11","146","67","224",
"경남","창녕군","총계","2025.06 월","252","36645","784","37681",
"경남","창원시 마산합포구","승용","2025.06 월","153","90351","1336","91840",
"경남","창원시 마산합포구","승합","2025.06 월","66","1822","474","2362",
"경남","창원시 마산합포구","화물","2025.06 월","138","10290","1003","11431",
"경남","창원시 마산합포구","특수","2025.06 월","15","161","151","327",
"경남","창원시 마산합포구","총계","2025.06 월","372","102624","2964","105960",
"경남","창원시 마산회원구","승용","2025.06 월","71","97545","5655","103271",
"경남","창원시 마산회원구","승합","2025.06 월","34","1749","406","2189",
"경남","창원시 마산회원구","화물","2025.06 월","55","10776","1561","12392",
